"Temperature Date","Temperature Value"
"1254-01-01",-0.48
"1255-01-01",-0.42
"1256-01-01",-0.3
"1257-01-01",-0.34
"1258-01-01",-0.43
"1259-01-01",-0.3
"1260-01-01",-0.11
"1261-01-01",-0.05
"1262-01-01",-0.1
"1263-01-01",-0.27
"1264-01-01",-0.46
"1265-01-01",-0.36
"1266-01-01",-0.1
"1267-01-01",0.01
"1268-01-01",-0.11
"1269-01-01",-0.28
"1270-01-01",-0.28
"1271-01-01",-0.19
"1272-01-01",-0.23
"1273-01-01",-0.34
"1274-01-01",-0.21
"1275-01-01",-0.1
"1276-01-01",-0.23
"1277-01-01",-0.34
"1278-01-01",-0.26
"1279-01-01",-0.12
"1280-01-01",-0.12
"1281-01-01",-0.24
"1282-01-01",-0.29
"1283-01-01",-0.32
"1284-01-01",-0.52
"1285-01-01",-0.66
"1286-01-01",-0.47
"1287-01-01",-0.33
"1288-01-01",-0.44
"1289-01-01",-0.45
"1290-01-01",-0.33
"1291-01-01",-0.36
"1292-01-01",-0.5
"1293-01-01",-0.51
"1294-01-01",-0.47
"1295-01-01",-0.5
"1296-01-01",-0.53
"1297-01-01",-0.48
"1298-01-01",-0.5
"1299-01-01",-0.54
"1300-01-01",-0.48
"1301-01-01",-0.37
"1302-01-01",-0.3
"1303-01-01",-0.32
"1304-01-01",-0.34
"1305-01-01",-0.33
"1306-01-01",-0.38
"1307-01-01",-0.41
"1308-01-01",-0.35
"1309-01-01",-0.29
"1310-01-01",-0.21
"1311-01-01",-0.16
"1312-01-01",-0.2
"1313-01-01",-0.18
"1314-01-01",-0.16
"1315-01-01",-0.29
"1316-01-01",-0.37
"1317-01-01",-0.39
"1318-01-01",-0.45
"1319-01-01",-0.42
"1320-01-01",-0.26
"1321-01-01",-0.18
"1322-01-01",-0.28
"1323-01-01",-0.37
"1324-01-01",-0.27
"1325-01-01",-0.13
"1326-01-01",-0.05
"1327-01-01",-0.08
"1328-01-01",-0.24
"1329-01-01",-0.28
"1330-01-01",-0.09
"1331-01-01",0.02
"1332-01-01",-0.01
"1333-01-01",-0.09
"1334-01-01",-0.23
"1335-01-01",-0.41
"1336-01-01",-0.47
"1337-01-01",-0.45
"1338-01-01",-0.5
"1339-01-01",-0.44
"1340-01-01",-0.3
"1341-01-01",-0.16
"1342-01-01",-0.07
"1343-01-01",-0.08
"1344-01-01",-0.16
"1345-01-01",-0.19
"1346-01-01",-0.19
"1347-01-01",-0.21
"1348-01-01",-0.22
"1349-01-01",-0.24
"1350-01-01",-0.33
"1351-01-01",-0.36
"1352-01-01",-0.19
"1353-01-01",-0.1
"1354-01-01",-0.13
"1355-01-01",-0.04
"1356-01-01",0.11
"1357-01-01",0.09
"1358-01-01",-0.04
"1359-01-01",-0.1
"1360-01-01",-0.18
"1361-01-01",-0.3
"1362-01-01",-0.31
"1363-01-01",-0.23
"1364-01-01",-0.26
"1365-01-01",-0.3
"1366-01-01",-0.18
"1367-01-01",-0.04
"1368-01-01",-0.05
"1369-01-01",-0.16
"1370-01-01",-0.24
"1371-01-01",-0.35
"1372-01-01",-0.37
"1373-01-01",-0.23
"1374-01-01",-0.13
"1375-01-01",-0.18
"1376-01-01",-0.32
"1377-01-01",-0.43
"1378-01-01",-0.44
"1379-01-01",-0.44
"1380-01-01",-0.38
"1381-01-01",-0.32
"1382-01-01",-0.31
